@Αἰγίλιψ|n268
καταστυγέω|n5119
κατασχεθεῖν|n5120
κατατήκω|n5121
κατατίθημι|n5122
κατατρύχω|n5123
καταφέρω|n5125
καταφθίω|n5126
καταφλέγω|n5127
καταφυλαδόν|n5128
καταχέω|n5129
καταχθόνιος|n5130
καταῖτυξ|n5065
καταῦθι|n5124
κατείβω|n5134
κατεναίρω|n5137
κατεναντίον|n5138
κατεπάλμενος|n5140
κατερείπω|n5143
κατερητύω|n5144
κατερυκάνω|n5145
κατερύω|n5146
κατευνάζω|n5149
κατεφάλλομαι|n5150
κατηπιάω|n5152
κατηρεφής|n5153
κατηφέω|n5156
κατηφής|n5157
κατηφείη|n5155
κατηφών|n5158
κατθάψαι|n5160
κατθέμεν|n5161
κατοίσεται|n5164
κατωμάδιος|n5167
κατωμαδόν|n5168
κατόπισθε|n5165
κατῶρυξ|n5169
καυλός|n5171
καφ|n5176
καύκωνες|n5170
καύστειρα|n5173
καύστριος|n5174
καὐτός|n5175
καῦμα|n5172
κεάδης|n5178
κεάζω|n5179
κείαται|n5187
κείρω|n5194
κείω1|@
κείω2|@
κείω|@
κεβριόνης|n5181
κεδάννυμι|n5182
κεδνός|n5183
κεδρινός|n5184
κειάμενος|n5186
κειμήλιον|n5191
κεινός2|n5193
κεινός|n5193
κεκάδοντο|n5199
κεκαδήσει|n5198
κεκαφηώς|n5201
κεκλήατο|n5204
κεκλήσῃ|n5205
κεκλόμενος|n5206
κεκοπώς|n5209
κεκορυθμένος|n5211
κεκοτηώς|n5212
κεκράανται|n5213
κεκρύφαλος|n5214
κεκόρημαι|n5210
κεκύθωσι|n5215
κελάδων|@
κελαδέω|n5217
κελαδεινός|n5216
κελαινεφής|n5221
κελαινός|n5222
κελαρύζω|n5223
κελευτιάω|n5225
κελεύω|n5226
κελητίζω|n5228
κεμάς|n5232
κενεαυχής|n5234
κενεός|n5235
κενεών|n5236
κεντέω|n5240
κεντρηνεκής|n5241
κενός|n5237
κεράασθε|n5245
κεράννυμι|n5250
κεράω1|n5255
κεράω|n5255
κεραίζω|n5246
κεραίω|n5247
κεραμεύς|n5248
κεραοξόος|n5251
κεραυνός|n5254
κεραός|n5252
κερδίων|n5258
κερδαλέος|n5256
κερδαλεόφρων|n5257
κερδοσύνη|n5260
κερκίς|n5261
κερτομέω|n5263
κερτομίη|n5264
κερτόμιος|n5265
κερῶνται|n5266
κεστός|n5268
κευθάνω|n5269
κευθμός|n5270
κευθμών|n5271
κεφαλή|n5274
κεφαλλῆνες|n5275
κεχαρησέμεν|n5277
κεχαρισμένος|n5279
κεχηνώς|n5278
κεχρημένος|n5281
κεχόλωμαι|n5280
κεύθω|n5273
κεῖθεν|n5188
κεῖθι|n5189
κεῖμαι|n5190
κεῖνος1|n5192
κεῖνος|n5192
κεῖσε|n5195
κεῦθος|n5272
κηδεμών|n5286
κηκίω|n5291
κηληθμός|n5293
κηρεσσιφόρητος|n5300
κηρόθι|n5302
κηρός|n5303
κηρύσσω|n5305
κητώεις|n5309
κηφισίς|n5310
κηφισός|n5311
κηώδης|n5312
κηώεις|n5313
κιθαρίζω|n5315
κιθαριστύς|n5317
κικλήσκω|n5318
κιμμέριοι|n5323
κινέω|n5324
κινυρός|n5327
κινύρης|n5326
κιρνάω|n5330
κισσηίς|n5331
κισσύβιον|n5333
κισσῆς|n5332
κιχάνω|n5335
κλάζω|n5341
κλάω1|n5344
κλάω|n5344
κλέος|n5352
κλέπτης|n5353
κλέπτω|n5355
κλήδην|n5357
κλήθρη|n5359
κλίνω|n5367
κλίσιον|n5371
κλαίω|n5342
κλαγγή|n5339
κλαγγηδόν|n5340
κλαῦσε|n5343
κλείω1|@
κλείω2|@
κλείω|@
κλεηδών|n5345
κλειτός|n5346
κλεοπάτρη|n5351
κλεπτοσύνη|n5354
κλεωναί|n5356
κλεόβουλος|n5350
κλεῖτος|n5347
κληίς|n5360
κληίω|n5362
κληηδών|n5358
κληιστός|n5361
κλητός|n5364
κλιντήρ|n5366
κλισίη|n5368
κλισίηθεν|n5369
κλισίηνδε|n5370
κλισμός|n5372
κλιτύς|n5373
κλονέω|n5374
κλονίος|n5375
κλοτοπεύω|n5378
κλυμένη|n5382
κλυτίδης|n5385
κλυταιμνήστρη|n5384
κλυτομήδης|n5388
κλυτοτέχνης|n5392
κλυτόεργος|n5387
κλυτόνηος|n5389
κλυτόπωλος|n5390
κλυτός|n5391
κλυτότοξος|n5393
κλωμακόεις|n5396
κλόνος|n5376
κλόπιος|n5377
κλύδων|n5379
κλύζω|n5380
κλύμενος|n5383
κλύτιος|n5386
κλύω|n5394
κλῆρος1|n5363
κλῆρος|n5363
κλῖμαξ|n5365
κλῦθι|n5381
κλῶθες|n5395
κνάω|n5397
κνέφας|n5398
κνήμη|n5400
κνίση|n5404
κνημίς|n5401
κνημός|n5402
κνισήεις|n5405
κνυζηθμός|n5406
κνυζόω|n5407
κνωσός|n5409
κνώδαλον|n5408
κνώσσω|n5410
κνῆ|n5399
κνῆστις|n5403
κοίρανος|@
κοίτη|n5416
κοιμάω|n5412
κοιρανέω|n5413
κολεόν|n5418
κολλήεις|n5419
κολλητός|n5420
κολοιός|n5422
κολοσυρτός|n5424
κολούω|n5425
κολώνη|n5428
κολῳάω|n5427
κολῳός|n5429
κομάω|n5430
κομέω1|n5431
κομέω|n5431
κομίζω|n5434
κομιδή|n5433
κομπέω|n5435
κονίη|n5440
κονίσαλος|n5442
κονίω|n5443
κοναβέω|n5437
κοναβίζω|n5438
κοντός1|n5444
κοντός|n5444
κοπρέω|n5446
κοπρεύς|n5445
κορέννυμι|n5450
κορέω1|n5451
κορέω|n5451
κορθύομαι|n5453
κορμός|n5455
κορυθάιξ|n5458
κορυθαίολος|n5459
κορυνήτης|n5462
κορυστής|n5465
κορυφή|n5466
κορυφόω|n5467
κορωνίς|n5470
κορύνη|n5461
κορύσσω|n5464
κορώνεια|n5468
κορώνη|n5469
κοσμέω|n5472
κοσμήτωρ|n5474
κοσμητός|n5473
κοτέω|n5476
κοτήεις|n5477
κοτυλήρυτος|n5481
κοτυληδών|n5480
κοτύλη|n5479
κουλεόν|n5482
κουρίδιος|n5486
κουρίζω2|n5487
κουρίζω|n5487
κουρίξ|n5488
κουροτρόφος|n5491
κουρότερος|n5490
κουρῆτες|n5485
κούρη|n5483
κούρητες|n5484
κοῖλος|n5411
κοῖτος|n5417
κοῦρος1|n5489
κοῦρος|n5489
κοῦφος|n5492
κράατα|n5495
κράνεια|n5503
κράπαθος|n5505
κράτεσφι|n5514
κράτος1|n5517
κράτος|n5517
κρέας|n5520
κρήγυος|n5528
κρήδεμνον|n5529
κρήθων|n5533
κρήνη|n5536
κρής|n5537
κρήτη|n5538
κρίζω|n5541
κρίκε|n5543
κρίκος|n5544
κρίνω|n5545
κραίνω|n5498
κραδάω|n5497
κραδαίνω|n5496
κραιπνός|n5499
κρανάη|n5500
κρανέεσθαι|n5502
κρανίον|n5504
κραναός|n5501
κρατέω|n5516
κραταίπεδος|n5510
κραταιίς|n5508
κραταιγύαλος|n5507
κραταιός|n5509
κρατερός|n5511
κρατερόφρων|n5512
κρατερῶνυξ|n5513
κρατευταί|n5515
κρατός2|n5518
κρατός|n5518
κρατύς|n5519
κρείσσων|n5522
κρείων|@
κρειοντιάδης|n5523
κρεμάννυμι|n5526
κρεῖον|n5521
κρεῶν|n5527
κρηθεύς|n5532
κρημνός1|n5534
κρημνός|n5534
κρηναῖος|n5535
κρητήρ|n5539
κρηῆναι|n5530
κριθή|n5542
κριτός|n5548
κριός|n5546
κροαίνω|n5549
κροκόπεπλος|n5551
κροκύλεια|n5553
κρονίδης|n5555
κρονίων|n5556
κροτέω|n5561
κροταλίζω|n5559
κρουνοί|n5562
κρουνός|n5563
κροῖσμος|n5550
κρυερός|n5565
κρυπτάδιος|n5567
κρυπτός|n5568
κρυφηδόν|n5571
κρυόεις|n5566
κρόκος|n5552
κρόμυον|n5554
κρόνος|n5557
κρόσσαι|n5558
κρόταφος|n5560
κρύβδα|n5564
κρύπτω|n5569
κρύσταλλος|n5570
κρᾶτα|n5506
κρῆθεν|n5531
κρῖ|n5540
κρῖσα|n5547
κρῶμνα|n5572
κτάμεν|n5573
κτάομαι|n5574
κτέαρ|n5575
κτέατος|n5577
κτέρας|n5579
κτέρεα|n5580
κτήσιος|n5583
κτήσιππος|n5584
κτίδεος|n5587
κτίζω|n5588
κτίλος|n5589
κτείνω|n5578
κτεατίζω|n5576
κτερίζω|n5581
κτητός|n5586
κτιμένη|n5590
κτυπέω|n5591
κτύπος|n5592
κτῆμα|n5582
κτῆσις|n5585
κυάνεος|n5594
κυέω|n5615
κυανοχαίτης|n5598
κυανόπεζα|n5595
κυανόπρῳρος|n5596
κυανῶπις|n5599
κυβερνάω|n5600
κυβερνήτης|n5601
κυβιστάω|n5602
κυβιστητήρ|n5603
κυδάλιμος|n5605
κυδάνω|n5606
κυδαίνω|n5604
κυδιάνειρα|n5607
κυδιάω|n5608
κυδοιμέω|n5610
κυδοιμός|n5611
κυδρός|n5613
κυθέρεια|n5617
κυκάω|n5619
κυκεών|n5620
κυκλέω|n5621
κυκλοτερής|n5624
κυκλόσε|n5623
κυλίνδω|n5627
κυλλήνη|n5628
κυλλήνιος|n5629
κυλλοποδίων|n5630
κυμαίνω|n5632
κυμοδόκη|n5635
κυνάμυια|n5636
κυνέη|n5637
κυνέω|n5639
κυνηγέτης|n5640
κυνοραιστής|n5641
κυνώπης|n5644
κυπάρισσος|n5647
κυπαρίσσινος|n5646
κυπαρισσήεις|n5645
κυρέω|n5653
κυρτός|n5656
κυρτόω|n5657
κυφός|n5660
κωκυτός|n5666
κωκύω|n5667
κωπήεις|n5672
κωφός|n5675
κόλλοψ|n5421
κόλος|n5423
κόλπος|n5426
κόμη|n5432
κόμπος|n5436
κόναβος|n5439
κόνις|n5441
κόπρος|n5447
κόπτω|n5448
κόρακος|n5449
κόρη|n5452
κόρινθος|n5454
κόροη|n5457
κόρος1|n5456
κόρος|n5456
κόρυμβος|n5460
κόρυς|n5463
κόρωνος|n5471
κόσμος|n5475
κότος|n5478
κόων|n5493
κόωνδε|n5494
κύαμος|n5593
κύανος|n5597
κύδιστος|n5609
κύδωνες|n5614
κύθε|n5616
κύθηρα|n5618
κύκλος|n5622
κύκνος|n5626
κύκοωψ|n5625
κύμβαχος|n5633
κύμινδις|n5634
κύνεος|n5638
κύντερος|n5643
κύπειρον|n5648
κύπελλον|n5649
κύπρις|n5650
κύπρος|n5651
κύπτω|n5652
κύρμα|n5654
κύρσας|n5655
κύστις|n5658
κύτωρος|n5659
κύφος|n5661
κύω|n5662
κύων|n5663
κώδεια|n5665
κώληψ|n5668
κώπη|n5671
κώρυκος|n5673
κῆαι|n5284
κῆδος|n5288
κῆεν|n5290
κῆλον|n5294
κῆπος|n5297
κῆρ|@
κῆρυξ|n5304
κῆται|n5306
κῆτος|n5308
κῖκυς|n5320
κῦδος|n5612
κῦμα|n5631
κῦνος|n5642
κῶας|n5664
κῶμα|n5669
κῶπαι|n5670
κῶς|n5674
λάας|n5677
λάβρος|n5680
λάζομαι|n5686
λάθρῃ|n5688
λάιγξ|n5689
λάκε|n5699
λάμος|n5703
λάμπος|n5707
λάμπω|n5710
λάξ|n5712
λάπτω|n5726
λάρισα|n5727
λάρναξ|n5728
λάρος1|n5729
λάρος|n5729
λάσιος|n5731
λάσκω|n5732
λάχε|n5736
λάχεια|n5737
λάχνη|n5738
λάχνος1|n5740
λάχνος|n5740
λάω1|n5741
λάω|n5741
λέβης|n5742
λέγω1|n5743
λέγω|n5743
λέκτο|n5754
λέκτρον|n5756
λέλασμαι|n5760
λέλεγες|n5762
λέλογχα|n5765
λέξεο|n5766
λέπαδνον|n5768
λέπω|n5771
λέσβος|n5772
λέσχη|n5773
λέχος|n5785
λέων|n5786
λήγω|n5787
λήδη|n5788
λήθη|n5790
λήθω|n5792
λήιον|n5796
λήιτος|n5802
λήκυθος|n5803
λήσω|n5805
λίγα|n5810
λίγγω|n5812
λίγδην|n5813
λίζω|n5820
λίην|n5821
λίθαξ|n5822
λίθεος|n5824
λίθος|n5825
λίλαια|n5830
λίμνη|n5833
λίνδος|n5836
λίνον|n5838
λίνος|n5839
λίπα|n5840
λίς1|@
λίς2|@
λίς3|@
λίς|@
λίσσομαι|n5848
λίστρον|n5851
λαέρκης|n5683
λαέρτης|n5684
λαίνεος|n5692
λαβραγόρης|n5678
λαβρεύομαι|n5679
λαγχάνω|n5681
λαγωός|n5682
λαερτιάδης|n5685
λαθικηδής|n5687
λαιμός1|n5691
λαιμός|n5691
λαισήιον|n5693
λαιστρυγόνιος|n5694
λαιστρυγών|n5695
λαιψηρός|n5698
λακεδαίμων|n5700
λακτίζω|n5701
λαμβάνω|n5702
λαμπετάω|n5704
λαμπετίδης|n5705
λαμπετίη|n5706
λαμπρός|n5708
λαμπτήρ|n5709
λανθάνω|n5711
λαοδάμεια|n5715
λαοδίκη|n5716
λαοθόη|n5718
λαομέδων|n5720
λαομεδοντιάδης|n5719
λαοσσόος|n5722
λαοφόρος|n5723
λαπάρη|n5724
λαπίθαι|n5725
λαρός2|n5730
λαρός|n5730
λαυκανίη|n5733
λαφύσσω|n5735
λαχνήεις|n5739
λαόγονος|n5713
λαόδαμας|n5714
λαόδοκος|n5717
λαός|n5721
λαύρη|n5734
λαῖλαψ|n5690
λαῖτμα|n5696
λαῖφος|n5697
λείβω|n5745
λείουσι|n5752
λείπω|n5748
λειαίνω|n5744
λειμών|n5746
λειριόεις|n5749
λειστός|n5753
λειώδης|n5750
λειώκριτος|n5751
λεκτόν|n5755
λελάθῃ|n5758
λελάχητε|n5761
λελίημαι|n5764
λελαβέσθαι|n5757
λελακυῖα|n5759
λεληκώς|n5763
λεοντεύς|n5767
λεπταλέος|n5769
λεπτός|n5770
λευγαλέος|n5774
λευκάς|n5776
λευκαίνω|n5775
λευκοθέη|n5778
λευκός|n5779
λευκώλενος|n5781
λευρός|n5782
λεχεποίης|n5784
λεύκασπις|n5777
λεύσσω|n5783
λεῖος|n5747
λεῦκος|n5780
ληίζομαι|n5795
ληίς|n5797
ληίστωρ|n5800
ληθάνω|n5789
ληιάς|n5793
ληιβότειρα|n5794
ληιστήρ|n5798
ληιστός|n5799
λητώ|n5806
ληῖτις|n5801
λιάζομαι|n5807
λιαρός|n5808
λιβύη|n5809
λιγέως|n5814
λιγαίνω|n5811
λιγυπνείων|n5815
λιγυρός|n5816
λιγύς|n5817
λιγύφθογγος|n5818
λιγύφωνος|n5819
λιθάς|n5823
λικμάω|n5826
λικμητήρ|n5827
λικριφίς|n5828
λικύμνιος|n5829
λιλαίομαι|n5831
λιμήν|n5832
λιμνώρεια|n5834
λιμός|n5835
λινοθώρηξ|n5837
λιπαροκρήδεμνος|n5841
λιπαροπλόκαμος|n5842
λιπαρός|n5843
λιπόω|n5844
λισσός|n5849
λιστρεύω|n5850
λιτί|n5854
λιτανεύω|n5853
λοέω|n5861
λοίγιος|n5863
λοβός|n5856
λοετροχοός|n5860
λοετρόν|n5859
λοιβή|n5862
λοιγός1|n5864
λοιγός|n5864
λοιμός|n5865
λοισθήιος|n5866
λοκροί|n5868
λοπός|n5869
λοφιή|n5871
λοχάω|n5873
λούω|n5870
λοῖσθος1|n5867
λοῖσθος|n5867
λυγρός|n5877
λυκάβας|n5880
λυκάων|n5882
λυκέη|n5883
λυκίη|n5885
λυκηγενής|n5884
λυκομήδης|n5887
λυκοφόντης|n5890
λυκόοργος|n5888
λυκόφρων|n5891
λυπρός|n5895
λυρνησός|n5896
λυσιμελής|n5898
λυσσητήρ|n5901
λυσσώδης|n5902
λωβάομαι|n5905
λωβεύω|n5906
λωβητήρ|n5908
λωβητός|n5909
λωτοφάγοι|n5914
λωτοῦντα|n5912
λωτός|n5913
λωφάω|n5915
λόγος|n5857
λόε|n5858
λόφος|n5872
λόχμη|n5874
λόχος|n5875
λύγος|n5876
λύθεν|n5878
λύθρον|n5879
λύκαστος|n5881
λύκιοι|n5886
λύκος|n5889
λύκτος|n5892
λύκων|n5893
λύσανδρος|n5897
λύσις|n5899
λύσσα|n5900
λύχνος|n5903
λύω|n5904
λώβη|n5907
λώιον|n5910
λώπη|n5911
λὄ|n5855
λᾶας|n5676
λῆθος|n5791
λῆμνος|n5804
λῖτα|n5852
λῦμα1|n5894
λῦμα|n5894
μ̓|n5916
μά1|n5917
μά|n5917
μάγνητες|n5918
μάκαρ|@
μάκελλα|n5934
μάλα|n5937
μάλεια|n5939
μάλιστα|n5942
μάν|n5943
μάντιος|n5948
μάντις|n5949
μάομαι|n5951
μάργος|n5955
μάρις|n5956
μάρμαρος|n5959
μάρναμαι|n5961
μάρπησσα|n5962
μάρπτω|n5963
μάρτυρος|n5965
μάρων|n5966
μάσης|n5967
μάσσεται|n5968
μάσταξ|n5970
μάστιξ|n5972
μάχαιρα|n5978
μάχη|n5981
μάχομαι|n5986
μάψ2|n5987
μάψ|n5987
μέγαρον|n5998
μέγας|n5999
μέγεθος|n6000
μέγης|n6001
μέγιστος|n6002
μέδομαι|n6005
μέδων|@
μέθημαι|n6014
μέθυ|n6021
μέλαθρον|n6036
μέλας|@
μέλδομαι|n6050
μέλει|n6054
μέλεος|n6056
μέλι|n6057
μέλινος2|n6063
μέλινος|n6063
μέλισσα|n6064
μέλλω|n6067
μέλος|n6068
μέλπηθρον|n6069
μέλπω2|n6070
μέλπω|n6070
μέλω|n6071
μέμαα|n6072
μέμβλεται|n6075
μέμβλωκα|n6074
μέμηλα|n6077
μέμνων|n6079
μέμονα|n6080
μέμυκα|n6081
μέν|n6082
μένος|n6095
μέντης|n6096
μέντοι|n6097
μέντωρ|n6098
μένω|n6099
μένων|n6100
μέρμερος|@
μέρμις|n6105
μέρομαι|n6108
μέροψ|@
μέσθλης|n6113
μέσος|n6115
μέσσατος|n6116
μέσσαυλος|n6117
μέσση|n6118
μέσφα|n6124
μέτασσαι|n6154
μέτειμι1|@
μέτειμι2|@
μέτειμι|@
μέτρον|n6183
μέτωπον|n6185
μέχρι|n6187
μή3|n6188
μή|n6188
μήδομαι|n6192
μήκιστος|n6201
μήκων|n6203
μήν1|@
μήν2|@
μήν|@
μήνη|n6211
μήνιμα|n6213
μήποτε|n6219
μήρινθος2|n6221
μήρινθος|n6221
μήστωρ|@
μήτε|n6228
μήτηρ|n6229
μήτι1|@
μήτι2|@
μήτι|@
μήτις2|n6238
μήτις|n6238
μήτρως|n6242
μία|n6246
μίγδα|n6251
μίγνυμι|n6252
μίδεια|n6253
μίλητος|n6256
μίμας|n6258
μίμνω|n6261
μίν|n6262
μίνυνθα|n6266
μίνως|n6269
μίτος|n6275
μίτρη|n6276
μαίανδρος|n5922
μαίνομαι|n5926
μαίομαι|n5927
μαίων|n5929
μαζός|n5919
μαιάς|n5921
μαιμάω|n5924
μαιμαλίδης|n5923
μαινάς|n5925
μακαρίζω|n5932
μακεδνός|n5933
μακρός|n5935
μακών|n5936
μαλακός|n5938
μαλερός|n5940
μαλθακός|n5941
μανθάνω|n5944
μαντήιον|n5946
μαντεύομαι|n5945
μαντινέη|n5947
μαντοσύνη|n5950
μαραίνομαι|n5953
μαραθών|n5952
μαργαίνω|n5954
μαρμάρεος|n5958
μαρμαίρω|n5957
μαρμαρυγή|n5960
μαρτυρίη|n5964
μαστίζω|n5971
μαστίω|n5973
μαστορίδης|n5974
ματάω|n5975
ματίη|n5977
ματεύω|n5976
μαχάων|n5979
μαχήμων|n5982
μαχειόμενος|n5980
μαχητής|n5983
μαχητός|n5984
μαχλοσύνη|n5985
μαῖα|n5920
μαῖρα|n5928
μείζων|n6024
μείλανι|n6025
μείλια|n6026
μείλιγμα|n6027
μείλινος|n6028
μείρομαι1|n6032
μείρομαι|n6032
μείς|n6033
μείων|n6034
μεγάδης|n5988
μεγάθυμος|n5989
μεγάλως|n5994
μεγάρη|n5997
μεγαίρω|n5990
μεγακήτης|n5991
μεγαλήτωρ|n5992
μεγαλίζομαι|n5993
μεγαλωστί|n5995
μεγαπένθης|n5996
μεδέων|n6003
μεδεών|n6004
μεθάλλομαι|n6009
μεθέλεσκε|n6011
μεθέμεν|n6012
μεθέπω|n6013
μεθήμων|n6016
μεθίημι|n6017
μεθίστημι|n6018
μεθαιρέω|n6008
μεθείω|n6010
μεθημοσύνη|n6015
μεθομιλέω|n6019
μεθορμάομαι|n6020
μεθύω|n6022
μειδάω|n6023
μειλίσσω|n6029
μειλίχιος|n6031
μειλιχίη|n6030
μελάμπους|n6038
μελάνδετος|n6039
μελάνθιος|n6042
μελάνιππος|n6044
μελάνυδρος|n6046
μελάνω|n6047
μελέαγρος|n6051
μελέδημα|n6052
μελίβοια|n6058
μελίγηρυς|n6059
μελίη|n6060
μελίκρητον|n6062
μελίτη|n6065
μελίφρων|n6066
μελαίνω|n6037
μελαγχροιής|n6035
μελανεύς|n6040
μελανθεύς|n6041
μελανθώ|n6043
μελανόχροος|n6045
μελεδών|n6053
μελειστί|n6055
μελιηδής|n6061
μεμακυῖα|n6073
μεμηκώς|n6076
μεμνέῳτο|n6078
μενέλαος|n6085
μενέσθης|n6088
μενέσθιος|n6089
μενεαίνω|n6083
μενεδήιος|n6084
μενεπτόλεμος|n6086
μενεσθεύς|n6087
μενεχάρμης|n6090
μενοίτιος|n6094
μενοεικής|n6091
μενοινάω|n6092
μενοιτιάδης|n6093
μερμερίδης|n6101
μερμηρίζω|n6104
μεσήεις|n6112
μεσαιπόλιος|n6109
μεσαύλιος|n6110
μεσηγύ|n6111
μεσσήνη|n6121
μεσσήνιοι|n6122
μεσσηίς|n6120
μεσσηγύς|n6119
μεσσοπαγής|n6123
μεσόδμη|n6114
μετά|n6125
μετάγγελος|n6128
μετάλμενος|n6141
μετάφημι|n6163
μετάφρενον|n6165
μετέασι|n6167
μετέπειτα|n6173
μετέρχομαι|n6174
μετέσσυτο|n6175
μετέω|n6176
μετήορος|n6177
μεταίζω|n6133
μεταίσσω|n6134
μεταβαίνω|n6126
μεταβουλεύω|n6127
μεταδήμιος|n6130
μεταδαίνυμαι|n6129
μεταδρομάδην|n6132
μεταδόρπιος|n6131
μετακιάθω|n6135
μετακλίνω|n6137
μετακλαίω|n6136
μεταλήγω|n6138
μεταλλάω|n6139
μεταλλήγω|n6140
μεταμάζιος|n6142
μεταμίγνυμι|n6143
μεταμώνιος|n6144
μετανάστης|n6145
μετανίσσομαι|n6146
μεταξύ|n6147
μεταπαυσωλή|n6149
μεταπαύομαι|n6148
μεταπρέπω|n6151
μεταπρεπής|n6150
μετασεύομαι|n6152
μετασπόμενος|n6153
μετασσεύομαι|n6155
μεταστένω|n6156
μεταστοιχί|n6157
μεταστρέφω|n6158
μετατίθημι|n6159
μετατρέπομαι|n6160
μετατροπαλίζομαι|n6161
μεταυδάω|n6162
μεταφράζομαι|n6164
μεταφωνέω|n6166
μετείω|n6172
μετεισάμενος|n6171
μετεῖπον|n6170
μετοίχομαι|n6178
μετοκλάζω|n6179
μετοχλίζω|n6181
μετρέω|n6182
μετόπισθε|n6180
μετώπιον|n6184
μεῦ|n6186
μηδέ|n6189
μηδέν|n6190
μηδεσικάστη|n6191
μηθώνη|n6195
μηκάομαι|n6196
μηκάς|n6197
μηκέτι|n6198
μηκιστεύς|n6199
μηκιστηιάδης|n6200
μηλέη|n6204
μηλοβοτήρ|n6205
μηνίω|n6215
μηνιθμός|n6212
μηρίον|n6222
μηριόνης|n6223
μηρός|n6224
μηρύομαι|n6225
μητίετα|n6233
μητίομαι|n6235
μητιάω|n6232
μητιόεις|n6234
μητιόωσα|n6236
μητροπάτωρ|n6239
μητρυιή|n6240
μητρώιος|n6241
μηχανάω|n6243
μιαίνω|n6247
μιαιφόνος|n6248
μιαρός|n6249
μιγάζομαι|n6250
μικρός|n6254
μιλτοπάρῃος|n6257
μιμνάζω|n6259
μιμνήσκω|n6260
μινυήιος|n6264
μινυνθάδιος|n6267
μινυρίζω|n6268
μινύειος|n6263
μινύθω|n6265
μισέω|n6272
μισγάγκεια|n6270
μισγω|n6271
μισθός|n6273
μιστύλλω|n6274
μιχθείς|n6277
μνάομαι1|@
μνάομαι2|@
μνάομαι|@
μνήμων|n6282
μνημοσύνη|n6281
μνηστήρ|n6286
μνηστεύω|n6285
μνηστός|n6288
μνηστύς|n6289
μνωόμενος|n6290
μνῆμα|n6280
μνῆσαι|n6283
μνῆσος|n6284
μνῆστις|n6287
μογέω|n6291
μογοστόκος|n6294
μοιρηγενής|n6297
μοιχάγρια|n6298
μολίων|n6301
μολεῖν|n6299
μολοβρός|n6302
μολοῦσα|n6304
μολπή|n6305
μολύβδαινα|n6306
μονόω|n6307
μορμύρω|n6309
μορφή|n6315
μορόεις|n6310
μορύσσω|n6314
μοχθέω|n6322
μοχθίζω|n6323
μοχλέω|n6324
μοχλός|n6325
μούλιος|n6318
μούναξ|n6319
μοῖρα|n6296
μοῦνος|n6320
μοῦσα|n6321
μυδαλέος|n6327
μυελόεις|n6329
μυελός|n6330
μυθέομαι|n6331
μυθολογεύω|n6332
μυκάλη|n6335
μυκάομαι|n6337
μυκήνη|n6339
μυκαλησσός|n6336
μυκηθμός|n6338
μυλήφατος|n6343
μυλοειδής|n6344
μυρίκινος|n6348
μυρίνη|n6349
μυρίος|n6350
μυρμιδόνες|n6351
μυρῖκη|n6347
μυσοί|n6354
μυχμός|n6355
μυχοίτατος|n6356
μυχόνδε|n6357
μυχός|n6358
μυών|n6360
μυῖα|n6334
μωμάομαι|n6363
μωμεύω|n6364
μόγις|n6292
μόγος|n6293
μόθος|n6295
μόλιβος|n6300
μόλος|n6303
μόριμος|n6308
μόρος|n6311
μόρσιμος|n6312
μόρυς|n6313
μόρφνος|n6316
μόσχος2|n6317
μόσχος|n6317
μύγδων|n6326
μύδων|n6328
μύκον|n6340
μύλαξ|n6341
μύλη|n6342
μύνη|n6345
μύνης|n6346
μύρομαι|n6352
μύρσινος|n6353
μύω|n6359
μᾶσσον|n5969
μῃονίη|n6217
μῃονίς|n6218
μῄονες|n6216
μῄων|n6245
μῆδος1|@
μῆδος2|@
μῆδος|@
μῆκος|n6202
μῆλον1|@
μῆλον2|@
μῆλον|@
μῆλοψ|n6208
μῆνις|n6214
μῆρα|n6220
μῆτις1|n6237
μῆτις|n6237
μῆχος|n6244
μῖκτο|n6255
μῦθος|n6333
μῶλος|n6361
μῶλυ|n6362
μῶμος|n6365
μῶνυξ|n6366
ν|n6367
νάκη|n6371
νάπη|n6372
νάσθη|n6374
νάσσω|n6375
νάστης|n6376
νάω|n6390
νέαιρα|n6391
νέατος1|n6393
νέατος|n6393
νέες|n6395
νέηαι|n6396
νέηλυς|n6399
νέκταρ|n6415
νέκυς|n6417
νέμεσις|n6422
νέμος|n6425
νέμω|n6426
νένιπται|n6427
νέομαι|n6433
νέον|n6434
νέος1|n6439
νέος|n6439
νέποδες|n6448
νέρθε|n6449
νέστωρ|n6453
νέφος|n6461
νέω1|@
νέω2|@
νέω|@
νήγρετος|n6467
νήδυια|n6468
νήδυμος|n6469
νήιον|n6474
νήιος|n6475
νήλειτις|n6482
νήνεμος|n6492
νήπιος|n6500
νήποινος|n6501
νήρικος|n6504
νήριτον|n6505
νήριτος|@
νήχω|n6513
νίζω|n6514
νίκη1|n6516
νίκη|n6516
νίπτω|n6518
νίσσομαι|n6522
νίσυρος|n6523
νίφω|n6527
νίψα|n6528
ναί|n6368
ναίω|n6370
ναιετάω|n6369
ναρκάω|n6373
ναυβολίδης|n6377
ναυσίθοος|n6381
ναυσικάα|n6382
ναυσικλειτός|n6383
ναυσικλυτός|n6384
ναυτίλλομαι|n6388
ναυτεύς|n6385
ναυτιλίη|n6387
ναύλοχος|n6378
ναύμαχος|n6379
ναύτης|n6386
ναῦς|n6380
ναῦφι|n6389
